taxonID	scientificName	parentNameUsageID	taxonRank
T100581	Ophidion barbatum	T100582	species
T100583	Cepola pauciradiata	T100584	species
T100586	Zeus faber	T100587	species
T100588	Cetonurus globiceps	T100589	species
T100590	Thorogobius angolensis	T100591	species
T100592	Pontinus kuhlii	T100070	species
T100593	Cynoglossus browni	T100049	species
T100594	Epinephelus caninus	T100090	species
T100595	Hexanchus griseus	T100596	species
T100597	Carcharhinus limbatus	T100426	species
T100598	Pisodonophis semicinctus	T100599	species
T100600	Rhynchobatus luebberti	T100601	species
T100602	Monolene mertensi	T100307	species
T100603	Gempylus serpens	T100604	species
T100605	Schedophilus pemarco	T100606	species
T100608	Helicolenus dactylopterus	T100609	species
T100611	Pseudotolithus moorii	T100133	species
T100612	Diaphus dumerilii	T100613	species
T100616	Dentex macrophthalmus	T100015	species
T100617	Epigonus constanciae	T100471	species
T100618	Aluterus scriptus	T100298	species
T100619	Chromis multilineata	T100344	species
T100620	Pegusa triophthalma	T100143	species
T100621	Acanthostracion quadricornis	T100382	species
T100622	Fowlerichthys senegalensis	T100623	species
T100624	Carcharhinus isodon	T100426	species
T100625	Merluccius senegalensis	T100531	species
T100626	Raja radula	T100010	species
T100627	Synodus intermedius	T100464	species
T100628	Scorpaenodes africanus	T100629	species
T100630	Orcynopsis unicolor	T100631	species
T100632	Cyclichthys orbicularis	T100633	species
T100634	Caranx lugubris	T100001	species
T100635	Epinephelus fasciatus	T100090	species
T100636	Hyperoglyphe pringlei	T100637	species
T100638	Umbrina steindachneri	T100117	species
T100639	Naucrates ductor	T100640	species
T100641	Carcharias taurus	T100642	species
T100645	Orbulina universa	T100646	species
T100647	Canthidermis maculata	T100648	species
T100649	Globigerinella aequilateralis	T100650	species
T100651	Passer griseus	T100652	species
T100656	Halcyon senegalensis	T100657	species
T100660	Trachinocephalus myops	T100661	species
T100662	Globigerina bulloides	T100663	species
T100664	Gymnura micrura	T100665	species
T100668	Dasyatis margarita	T100669	species
T100671	Synodus myops	T100464	species
T100672	Rhizoprionodon acutus	T100673	species
T100674	Dasyatis marmorata	T100669	species
T100675	Scyliorhinus stellaris	T100676	species
T100677	Spicara alta	T100678	species
T100679	Globigerinoides obliquus	T100110	species
T100680	Globigerinoides obliqua	T100110	species
T100682	Gymnura altavela	T100665	species
T100683	Pteromylaeus bovinus	T100684	species
T100686	Aetomylaeus bovinus	T100687	species
T100688	Aetobatus narinari	T100689	species
T100690	Dasyatis centroura	T100669	species
T100691	Rhinoptera marginata	T100692	species
T100693	Diodon hystrix	T100438	species
T100694	Sterna hirundo	T100695	species
T100698	Neogloboquadrina dutertrei	T100699	species
T100701	Prionace glauca	T100702	species
T100703	Globigerinoides ruber	T100110	species
T100704	Globorotalia menardii	T100705	species
T100706	Anopheles melas	T100707	species
T100712	Trachinotus ovatus	T100403	species
T100713	Actitis hypoleucos	T100714	species
T100716	Sphaeroidinellopsis seminulina	T100717	species
T100718	Porogobius schlegelii	T100719	species
T100720	Nemichthys scolopaceus	T100721	species
T100722	Selene dorsalis	T100565	species
T100723	Egretta gularis	T100724	species
